Listening on COM8 at 115200 baud (8E1)...
COBS Decode Error
Accel: X=   120 Y=  -644 Z= 18156 | Gyro: X=  -245 Y=  -663 Z=   -86 | Temp:  35.0 °C
Accel: X=   124 Y=  -644 Z= 18440 | Gyro: X=  -241 Y=  -671 Z=   -80 | Temp:  35.1 °C
Accel: X=   208 Y=  -704 Z= 18464 | Gyro: X=  -237 Y=  -662 Z=   -87 | Temp:  35.0 °C
Accel: X=    28 Y=  -744 Z= 18216 | Gyro: X=  -244 Y=  -666 Z=   -77 | Temp:  35.1 °C
Accel: X=   124 Y=  -656 Z= 18500 | Gyro: X=  -244 Y=  -667 Z=   -94 | Temp:  35.0 °C
Accel: X=    32 Y=  -844 Z= 18456 | Gyro: X=  -238 Y=  -693 Z=   -93 | Temp:  35.0 °C
Accel: X=   128 Y=  -724 Z= 18236 | Gyro: X=  -239 Y=  -647 Z=   -90 | Temp:  35.1 °C
Accel: X=   176 Y=  -736 Z= 18392 | Gyro: X=  -248 Y=  -682 Z=   -93 | Temp:  35.2 °C
Accel: X=    52 Y=  -708 Z= 18488 | Gyro: X=  -240 Y=  -685 Z=   -89 | Temp:  35.0 °C
Accel: X=   136 Y=  -708 Z= 18300 | Gyro: X=  -250 Y=  -676 Z=   -76 | Temp:  35.0 °C
Accel: X=   180 Y=  -656 Z= 18300 | Gyro: X=  -260 Y=  -664 Z=  -106 | Temp:  35.0 °C
Accel: X=   184 Y=  -712 Z= 18412 | Gyro: X=  -252 Y=  -666 Z=   -90 | Temp:  35.0 °C
Accel: X=   152 Y=  -720 Z= 18260 | Gyro: X=  -243 Y=  -678 Z=   -86 | Temp:  35.0 °C
Accel: X=    44 Y=  -792 Z= 18244 | Gyro: X=  -224 Y=  -649 Z=  -109 | Temp:  35.1 °C
Accel: X=   164 Y=  -616 Z= 18220 | Gyro: X=  -248 Y=  -703 Z=   -85 | Temp:  35.0 °C
Accel: X=   208 Y=  -680 Z= 18540 | Gyro: X=  -243 Y=  -704 Z=   -86 | Temp:  35.1 °C
Accel: X=   156 Y=  -752 Z= 18460 | Gyro: X=  -228 Y=  -655 Z=   -92 | Temp:  35.0 °C
Accel: X=   104 Y=  -536 Z= 18292 | Gyro: X=  -246 Y=  -644 Z=   -67 | Temp:  35.0 °C
Accel: X=   104 Y=  -532 Z= 18456 | Gyro: X=  -250 Y=  -650 Z=   -86 | Temp:  35.2 °C
Accel: X=   116 Y=  -668 Z= 18556 | Gyro: X=  -239 Y=  -674 Z=   -75 | Temp:  35.1 °C
Accel: X=   148 Y=  -616 Z= 18344 | Gyro: X=  -230 Y=  -652 Z=   -80 | Temp:  35.0 °C
Accel: X=    48 Y=  -672 Z= 18284 | Gyro: X=  -250 Y=  -628 Z=   -71 | Temp:  35.0 °C
Accel: X=   108 Y=  -744 Z= 18288 | Gyro: X=  -236 Y=  -678 Z=   -84 | Temp:  35.1 °C
Accel: X=    80 Y=  -620 Z= 18288 | Gyro: X=  -229 Y=  -653 Z=   -95 | Temp:  35.1 °C
Accel: X=    40 Y=  -652 Z= 18412 | Gyro: X=  -245 Y=  -623 Z=   -99 | Temp:  35.0 °C
Accel: X=    40 Y=  -696 Z= 18540 | Gyro: X=  -247 Y=  -640 Z=   -82 | Temp:  35.1 °C
Accel: X=   140 Y=  -768 Z= 18336 | Gyro: X=  -230 Y=  -659 Z=   -71 | Temp:  35.0 °C
Accel: X=    72 Y=  -712 Z= 18492 | Gyro: X=  -268 Y=  -686 Z=   -64 | Temp:  35.0 °C
Accel: X=    76 Y=  -712 Z= 18340 | Gyro: X=  -266 Y=  -658 Z=   -95 | Temp:  35.0 °C
Accel: X=    80 Y=  -796 Z= 18360 | Gyro: X=  -235 Y=  -671 Z=   -79 | Temp:  35.0 °C
Accel: X=    88 Y=  -712 Z= 18296 | Gyro: X=  -235 Y=  -681 Z=   -82 | Temp:  35.0 °C
Accel: X=   -28 Y=  -692 Z= 18568 | Gyro: X=  -244 Y=  -639 Z=   -93 | Temp:  35.0 °C
Accel: X=    20 Y=  -744 Z= 18300 | Gyro: X=  -249 Y=  -679 Z=   -68 | Temp:  35.0 °C
Accel: X=   152 Y=  -804 Z= 18204 | Gyro: X=  -241 Y=  -654 Z=   -95 | Temp:  35.1 °C
Accel: X=   164 Y=  -692 Z= 18328 | Gyro: X=  -260 Y=  -666 Z=  -111 | Temp:  35.0 °C
Accel: X=    88 Y=  -620 Z= 18336 | Gyro: X=  -252 Y=  -654 Z=   -87 | Temp:  35.1 °C
Accel: X=   212 Y=  -672 Z= 18360 | Gyro: X=  -236 Y=  -682 Z=   -96 | Temp:  35.1 °C
Accel: X=   160 Y=  -696 Z= 18368 | Gyro: X=  -268 Y=  -657 Z=   -73 | Temp:  35.1 °C
Accel: X=   100 Y=  -592 Z= 18448 | Gyro: X=  -254 Y=  -675 Z=   -85 | Temp:  35.1 °C
Accel: X=   184 Y=  -800 Z= 18384 | Gyro: X=  -238 Y=  -661 Z=   -89 | Temp:  35.1 °C
Accel: X=   172 Y=  -632 Z= 18340 | Gyro: X=  -215 Y=  -663 Z=   -83 | Temp:  35.1 °C
Accel: X=    24 Y=  -608 Z= 18344 | Gyro: X=  -267 Y=  -641 Z=   -80 | Temp:  35.0 °C
Accel: X=    44 Y=  -680 Z= 18368 | Gyro: X=  -249 Y=  -657 Z=   -76 | Temp:  35.1 °C
Accel: X=   220 Y=  -792 Z= 18432 | Gyro: X=  -241 Y=  -683 Z=   -73 | Temp:  35.0 °C
Accel: X=   224 Y=  -620 Z= 18220 | Gyro: X=  -243 Y=  -683 Z=  -106 | Temp:  35.0 °C
Accel: X=    60 Y=  -672 Z= 18232 | Gyro: X=  -271 Y=  -671 Z=   -86 | Temp:  35.0 °C
Accel: X=   -96 Y=  -812 Z= 18380 | Gyro: X=  -253 Y=  -692 Z=   -69 | Temp:  35.0 °C
Accel: X=    52 Y=  -708 Z= 18468 | Gyro: X=  -253 Y=  -639 Z=  -107 | Temp:  35.1 °C
Accel: X=    60 Y=  -656 Z= 18388 | Gyro: X=  -263 Y=  -636 Z=   -98 | Temp:  35.0 °C
Accel: X=   120 Y=  -700 Z= 18512 | Gyro: X=  -239 Y=  -685 Z=   -71 | Temp:  35.0 °C
Accel: X=   164 Y=  -780 Z= 18284 | Gyro: X=  -221 Y=  -661 Z=  -100 | Temp:  35.1 °C
Accel: X=    52 Y=  -620 Z= 18252 | Gyro: X=  -248 Y=  -652 Z=   -78 | Temp:  35.0 °C
